Name,MainAirline,RewardsID,Age,Gender,Race,HomeAirport
Marissa Blasen,AA,AA75722,78,F,Native American/Alaska Native,CLT
Larry Harding,SW,SW58228,72,M,Black/African American,IAD
Krystal Reed,AS,AS10588,25,F,Native Hawaiian/Pacific Islander,SEA
Sara Oneill,SW,SW51549,55,F,White,FLL
Janet Childress,SW,SW39527,56,F,White,LAS
Angela Oflaherty,SW,SW95936,81,F,White,MCO
Sarah Tennant,DL,DL83751,26,F,Native American/Alaska Native,JFK
Lillie Boyd,SW,SW16061,75,F,White,JFK
Michael Speer,HA,HA46713,57,M,Native Hawaiian/Pacific Islander,PHL
Carlton Lehman,HA,HA48684,46,M,Black/African American,CLT
Elizabeth Powell,DL,DL23744,28,F,Black/African American,MIA
Dortha Sylvester,SW,SW95817,56,F,Black/African American,ORD
Andrea Pollara,HA,HA26441,26,F,Native Hawaiian/Pacific Islander,EWR
Tracy Vanmatre,AA,AA73771,67,F,Asian,ORD
Scott Bridgeman,SW,SW61202,53,M,Black/African American,MSP
Richard Howard,AA,AA74840,24,M,Native Hawaiian/Pacific Islander,FLL
Antonio Wright,AS,AS88766,75,M,Native American/Alaska Native,DTW
Ivan Carlisle,DL,DL20288,67,M,White,PHL
Charles Harkness,DL,DL77769,43,M,Asian,CLT
Laura Johnson,DL,DL52888,71,F,Black/African American,LAS
Doug Wun,DL,DL94490,41,M,Hispanic/Latino,SEA
Amy Glover,DL,DL29815,45,F,White,LAX
Bernice Chandler,SW,SW77087,51,F,White,ORD
Frank Scott,DL,DL26334,82,M,Asian,EWR
Deborah Weitkamp,UA,UA15479,37,F,Black/African American,BNA
Mike Albert,SW,SW94729,83,M,Native Hawaiian/Pacific Islander,FLL
Joel Workman,AS,AS83386,73,M,Black/African American,MIA
Rita Glover,HA,HA99415,72,F,Asian,SEA
Howard Brown,DL,DL97499,44,M,Asian,LGA
Enrique Hererra,AS,AS41457,54,M,Native American/Alaska Native,SFO
Alexandria Dixon,SW,SW60226,71,F,Hispanic/Latino,PHX
Alicia Mathis,SW,SW37051,48,F,Asian,MIA
Jesse Peral,DL,DL50481,22,M,Native American/Alaska Native,JFK
Katie Munoz,AS,AS32169,32,F,Native American/Alaska Native,MSP
Christian Jennings,AA,AA84784,25,M,Native American/Alaska Native,PHX
Crystal Brawley,AA,AA69205,34,F,Black/African American,EWR
Michael Price,AS,AS96274,65,M,Black/African American,SLC
Mario Buckles,DL,DL19128,46,M,Hispanic/Latino,LAS
Phuong Brannon,AS,AS37723,73,F,White,DFW
Gary Carey,AA,AA40038,60,M,Asian,MDW
Babara Cassidy,DL,DL18676,61,F,Native American/Alaska Native,BOS
Sean Benzing,AS,AS17484,23,M,Hispanic/Latino,PHX
Daryl Monfort,DL,DL76930,59,M,Asian,SEA
Diane Gray,AS,AS20185,58,F,Black/African American,PHL
Frances Headley,DL,DL18440,76,F,White,BOS
Matthew Atkinson,DL,DL22063,54,M,Asian,DEN
Michael Watton,AA,AA87727,81,M,Native Hawaiian/Pacific Islander,BNA
Ulysses Hickernell,UA,UA62979,60,M,Native Hawaiian/Pacific Islander,LGA
Jacob Oneal,HA,HA46406,72,M,Black/African American,JFK
Eunice Washburn,SW,SW60108,81,F,Asian,IAD
Amelia Turpin,AS,AS84309,41,F,White,PHX
Gary Buchanan,AA,AA47098,63,M,Hispanic/Latino,BOS
Katherine Bonilla,HA,HA95179,71,F,White,SAN
Barbara Aleshire,SW,SW52313,67,F,Native Hawaiian/Pacific Islander,DEN
Joseph Lombardo,UA,UA26128,81,M,Native American/Alaska Native,SAN
Jody Eckenrode,HA,HA67066,67,F,Black/African American,IAD
Kimberly Monarrez,AS,AS12175,38,F,Black/African American,DFW
Carroll Murphey,AS,AS17781,82,M,Native Hawaiian/Pacific Islander,DEN
Paul Turner,DL,DL65667,52,M,White,MIA
Sandra Shields,DL,DL49353,64,F,Asian,SFO
Sonya Nickson,DL,DL24618,51,F,White,ATL
Sharon Yancy,DL,DL61708,74,F,Hispanic/Latino,DTW
Lottie Smith,UA,UA30315,72,F,Hispanic/Latino,LGA
Jessica Brown,SW,SW79333,46,F,Hispanic/Latino,DFW
Mozella Elliott,UA,UA32044,58,F,Black/African American,IAH
Shirley Biggs,AA,AA99983,25,F,Black/African American,BOS
Amy Nelson,AS,AS84982,34,F,Black/African American,ORD
Karin Herda,UA,UA72499,78,F,Asian,JFK
Edward Ayers,AS,AS58083,84,M,Asian,MIA
Samuel Belgarde,SW,SW43349,58,M,Native Hawaiian/Pacific Islander,LAS
Raul Plowman,SW,SW61345,27,M,Asian,BOS
Mildred Bigelow,UA,UA25972,26,F,Asian,MDW
Bobby Lyman,AA,AA42809,83,M,Native American/Alaska Native,DTW
Samuel Rodriguez,AS,AS84498,35,M,Black/African American,ORD
Michael Fleming,UA,UA29677,48,M,Black/African American,LAS
Gail Tellez,AS,AS36103,31,F,Asian,BNA
Harold Morgan,AS,AS29809,46,M,White,MCO
Bradley Mccray,UA,UA93660,29,M,Black/African American,SEA
Alvin Roden,UA,UA99741,81,M,Asian,SEA
Samuel Schoenberger,AA,AA48273,83,M,Hispanic/Latino,CLT
Rebecca Ray,HA,HA19401,71,F,Hispanic/Latino,IAD
Esther Gerard,AA,AA32000,51,F,Hispanic/Latino,LAX
Evelyn Creek,DL,DL31889,47,F,Native American/Alaska Native,DFW
Daniel Lea,DL,DL40564,70,M,Asian,BWI
Susan Daniels,SW,SW51649,27,F,Black/African American,FLL
Jessie Trammell,UA,UA46535,69,M,White,SAN
James Gamez,SW,SW17886,46,M,Asian,BNA
Linda Trevino,HA,HA28928,42,F,Native American/Alaska Native,PHL
David Goble,AS,AS29722,83,M,Native Hawaiian/Pacific Islander,IAD
Marianne Thomas,UA,UA73501,60,F,Black/African American,SLC
Michael Hernandez,DL,DL41991,31,M,Native Hawaiian/Pacific Islander,LAX
Jesse Johnson,DL,DL34620,47,M,Hispanic/Latino,JFK
Daniel Plato,HA,HA98895,22,M,Asian,PHL
Kevin Medlin,SW,SW60845,60,M,Black/African American,DEN
Catherine Hadiaris,DL,DL21203,73,F,Hispanic/Latino,SLC
Susan Johnson,SW,SW55295,33,F,Native Hawaiian/Pacific Islander,DEN
Lorraine Nathaniel,DL,DL83084,58,F,Black/African American,LGA
Robert Fassett,DL,DL37665,31,M,Black/African American,MIA
David Jaynes,DL,DL17050,42,M,Native American/Alaska Native,MCO
Fred Febus,DL,DL52797,70,M,Native Hawaiian/Pacific Islander,BOS
Jamie Parenteau,AS,AS66636,69,F,Asian,IAD
Ross Mccoy,UA,UA41112,35,M,Black/African American,MSP
Donna Rega,AS,AS76174,80,F,Black/African American,LGA
Salvatore Moore,AS,AS89164,58,M,Asian,JFK
Jason Deem,UA,UA77380,40,M,Native Hawaiian/Pacific Islander,JFK
Sherril Gilman,AS,AS53767,40,F,Native Hawaiian/Pacific Islander,SFO
Tamika Ferguson,DL,DL24784,41,F,Hispanic/Latino,LAX
Robert Shellenberger,AA,AA74475,27,M,Asian,ORD
Mary Lopez,UA,UA90098,43,F,Black/African American,PHL
Guadalupe Johnson,AS,AS75021,51,F,Black/African American,MIA
Henry Haley,AA,AA16624,43,M,Black/African American,BNA
Cherri Mondesir,SW,SW71214,25,F,Asian,DEN
Melissa Sammons,UA,UA38625,65,F,Native American/Alaska Native,LAS
Nathan Kauffman,HA,HA57596,39,M,Hispanic/Latino,IAH
Noemi Jackson,AS,AS10990,79,F,White,SLC
Douglas Foreman,AS,AS76235,80,M,Black/African American,FLL
James Sibley,AA,AA99278,68,M,White,FLL
Carol Hertz,DL,DL91554,24,F,Black/African American,LAS
Nora Lindsey,HA,HA30009,52,F,Native American/Alaska Native,SLC
William Harrison,UA,UA20245,51,M,Native Hawaiian/Pacific Islander,LAS
Robyn Buck,DL,DL48189,38,F,Hispanic/Latino,EWR
Lee Lee,DL,DL73459,49,M,Black/African American,MSP
Nicole Coakley,SW,SW64923,31,F,Asian,BWI
David Graves,AS,AS25258,57,M,Asian,SAN
Russell Hoffman,UA,UA15506,30,M,Asian,LGA
Jason Smiley,UA,UA96936,40,M,Asian,IAD
Steven Powell,DL,DL50686,48,M,Black/African American,IAD
John Kemp,AA,AA19945,79,M,White,BWI
Joseph Wilson,AS,AS99574,79,M,Black/African American,CLT
Lorraine Hurt,AS,AS60730,82,F,Black/African American,DFW
Noe Johnson,AS,AS31784,26,M,Black/African American,PHX
Nathaniel Melton,SW,SW57947,41,M,Asian,DFW
Vickie Mitchell,SW,SW29933,68,F,White,DTW
Jacquelyn Johnson,AA,AA54619,79,F,Native American/Alaska Native,IAD
Joan Smith,AS,AS10056,39,F,Hispanic/Latino,TPA
Anthony Thompson,AS,AS92709,26,M,White,ATL
Ida Gerrald,SW,SW92409,35,F,Native Hawaiian/Pacific Islander,LAX
Carla Fernandez,HA,HA73229,22,F,Native American/Alaska Native,SAN
William Butler,HA,HA71527,78,M,Asian,DFW
Leonard Bialaszewski,SW,SW58453,29,M,Asian,IAH
Stephen Blake,AS,AS56398,77,M,Black/African American,TPA
Lola Slevin,UA,UA95304,45,F,Hispanic/Latino,BOS
Albert Hoyle,HA,HA19398,53,M,Hispanic/Latino,BWI
Dawn Barrows,DL,DL58566,41,F,Asian,SFO
Patrick Moss,AS,AS30961,37,M,Hispanic/Latino,SLC
Anthony Turner,AS,AS93804,43,M,White,SFO
Perry Ellison,AS,AS36667,56,M,Hispanic/Latino,LGA
Kathleen Farrar,HA,HA14805,26,F,Asian,JFK
Tia Acker,DL,DL62358,65,F,Black/African American,EWR
Jason Sanots,UA,UA68854,40,M,White,SAN
Margaret Boswell,UA,UA34485,74,F,Hispanic/Latino,BNA
Larry Lazar,AA,AA51285,62,M,Native American/Alaska Native,BNA
Juana Reichman,SW,SW62537,57,F,Asian,MDW
Victor Sims,SW,SW40258,73,M,Black/African American,TPA
Ron Shane,SW,SW20903,33,M,Native Hawaiian/Pacific Islander,PHX
Melanie Flint,HA,HA41187,45,F,Asian,BNA
Raven Roekle,UA,UA43610,72,F,Hispanic/Latino,DFW
Laura Carter,HA,HA24644,55,F,White,TPA
Marilyn Plunk,HA,HA55928,68,F,Black/African American,PHX
Dean Kellogg,HA,HA64158,31,M,Asian,ORD
Thao Esbenshade,SW,SW51317,46,F,White,ORD
Richard Sturm,DL,DL56575,76,M,Native Hawaiian/Pacific Islander,FLL
Russell Best,SW,SW81592,36,M,White,MIA
Cathy Williams,DL,DL53367,41,F,Asian,EWR
Phillip Burgoyne,AS,AS21379,63,M,Hispanic/Latino,SFO
Rita Lee,AS,AS31628,37,F,Native American/Alaska Native,SFO
Herman Nguyen,UA,UA16540,49,M,Hispanic/Latino,BNA
Rose Hensley,AA,AA34477,80,F,Native American/Alaska Native,MIA
Tony Werner,UA,UA55907,72,M,Asian,IAH
George Robinson,UA,UA41148,60,M,Black/African American,FLL
Bill Rivera,AS,AS79612,46,M,Asian,LAX
Ralph Faunce,SW,SW82930,70,M,Asian,LAS
Clifford Sims,DL,DL21204,69,M,Black/African American,LAS
Dalia Day,UA,UA93830,24,F,Black/African American,BWI
Maria Steele,AA,AA76470,38,F,Hispanic/Latino,MCO
Travis Melvin,DL,DL82491,43,M,Native Hawaiian/Pacific Islander,CLT
Jesica Arceneaux,DL,DL10459,69,F,Native American/Alaska Native,ORD
Elizabeth Allen,AA,AA81854,70,F,Hispanic/Latino,SLC
Bruce Barnes,UA,UA58427,66,M,Native American/Alaska Native,BOS
Williams Spence,AA,AA44475,72,M,Hispanic/Latino,BWI
Shanna Howard,AA,AA24443,51,F,Asian,TPA
Barbara Newberry,AA,AA32080,23,F,Native Hawaiian/Pacific Islander,ATL
Tamika Muresan,SW,SW79097,78,F,Hispanic/Latino,TPA
Alisha Rego,DL,DL87553,59,F,Native Hawaiian/Pacific Islander,MCO
Tristan Davis,UA,UA35367,35,M,Hispanic/Latino,JFK
Garry Alvarez,AS,AS46132,43,M,Hispanic/Latino,PHX
Jennifer Adams,AS,AS21279,30,F,Native American/Alaska Native,CLT
Thomas Mackie,AS,AS84414,28,M,Hispanic/Latino,PHL
Ola Lauriano,HA,HA27869,39,F,Native Hawaiian/Pacific Islander,MCO
Joyce Baker,AS,AS14100,46,F,Black/African American,BWI
Diane Evans,UA,UA83838,49,F,Native Hawaiian/Pacific Islander,BNA
Walter Bullock,SW,SW94060,60,M,White,BOS
Ronald Willis,AS,AS15675,48,M,Native Hawaiian/Pacific Islander,DEN
Edward Walker,UA,UA45834,67,M,Native Hawaiian/Pacific Islander,DFW
Jon Barnhill,UA,UA82588,79,M,Asian,LGA
Helen Glantz,DL,DL91188,82,F,Native Hawaiian/Pacific Islander,SEA
Brandon Bender,UA,UA64839,38,M,White,BWI
Wilford Taggart,DL,DL91814,48,M,Native American/Alaska Native,JFK
Maria Robles,AA,AA27467,27,F,Native Hawaiian/Pacific Islander,LGA
Mark Marier,AA,AA94786,82,M,Hispanic/Latino,ATL
Juanita Fernandes,DL,DL68661,46,F,Asian,MCO
Patricia Black,SW,SW66016,24,F,White,LGA
Jane Lewis,AA,AA26444,39,F,Asian,LAX
Jonathan Mcclanahan,HA,HA33839,41,M,Hispanic/Latino,SEA
Anne Thornburg,HA,HA33213,47,F,Native American/Alaska Native,BNA
Misty Kave,HA,HA26222,40,F,Native American/Alaska Native,LGA
Callie Alexandre,DL,DL26750,25,F,Native American/Alaska Native,MSP
Wanda Price,UA,UA77297,33,F,Black/African American,FLL
Adrian Todd,AA,AA38635,23,M,Native American/Alaska Native,IAD
Thomas Gallegos,AS,AS39371,84,M,Black/African American,BNA
Estelle Nightingale,AA,AA57437,72,F,White,BNA
Ana Malinsky,DL,DL84345,40,F,Hispanic/Latino,IAD
Jean Mcmahon,AS,AS20892,28,F,Native Hawaiian/Pacific Islander,BNA
Shirley Brainard,SW,SW67983,25,F,Native Hawaiian/Pacific Islander,MCO
Donald Wenzel,UA,UA59968,61,M,White,FLL
Robert Dobson,DL,DL10290,22,M,Native American/Alaska Native,PHX
Melissa Koontz,AS,AS72853,70,F,Native American/Alaska Native,BOS
Donald Toman,AA,AA87332,39,M,Native Hawaiian/Pacific Islander,TPA
Mary Pousson,UA,UA62986,27,F,Native Hawaiian/Pacific Islander,IAD
Alicia Crespin,HA,HA51734,35,F,White,SLC
Bessie Gil,DL,DL57254,78,F,Black/African American,SFO
Diane Miller,UA,UA47239,51,F,Native American/Alaska Native,DEN
Anthony Tran,UA,UA31249,31,M,Native Hawaiian/Pacific Islander,MIA
Jo Vergari,DL,DL20014,33,F,Hispanic/Latino,TPA
Wesley Dyer,UA,UA21744,41,M,Native Hawaiian/Pacific Islander,LGA
Christopher Hess,AA,AA56655,47,M,Black/African American,BWI
Roberto Lindsey,AS,AS47544,53,M,Native Hawaiian/Pacific Islander,MSP
Marcella Lawson,UA,UA47567,33,F,White,CLT
Judy Vietti,UA,UA11240,47,F,White,MSP
Willie Rye,AS,AS19212,34,M,Black/African American,SFO
Lillian Moneyhun,AS,AS45835,41,F,White,BOS
Todd Mendez,SW,SW21698,60,M,Native American/Alaska Native,DEN
Betty Siders,UA,UA58570,43,F,Asian,BNA
Virginia Rodriquez,DL,DL65422,54,F,Asian,IAD
Diane Neuhoff,AS,AS57021,23,F,Native Hawaiian/Pacific Islander,IAD
Francis Amador,DL,DL55158,57,M,Black/African American,EWR
Robert Levine,AA,AA12464,27,M,Native Hawaiian/Pacific Islander,LAS
John Mccarter,SW,SW70316,72,M,Hispanic/Latino,FLL
Gabrielle Tackett,AS,AS51598,62,F,Native American/Alaska Native,MCO
Daniel Marshall,UA,UA86619,37,M,Asian,ORD
Cecil Reynolds,HA,HA12120,62,M,Native Hawaiian/Pacific Islander,SLC
Marie Malmquist,AA,AA51348,67,F,Asian,FLL
David Knowles,HA,HA65821,72,M,Native American/Alaska Native,TPA
Victor Love,UA,UA86270,45,M,Asian,SFO
Bertha Wood,HA,HA23457,70,F,Hispanic/Latino,ORD
Erin Smith,SW,SW21085,22,F,White,MCO
Melissa Merle,AA,AA67923,69,F,Native American/Alaska Native,IAD
Rosemary Allen,HA,HA12353,77,F,Black/African American,MIA
Foster Caldwell,AS,AS35277,30,M,Native American/Alaska Native,PHX
Rebecca Russell,UA,UA75020,40,F,Black/African American,LAS
Frank Hair,HA,HA53921,50,M,Native American/Alaska Native,TPA
Claude Fender,AS,AS46887,33,M,White,ATL
Phyllis Mckenize,HA,HA76470,32,F,Asian,SLC
Annette Evans,DL,DL98774,28,F,Asian,MSP
Travis Garcia,AS,AS61842,71,M,Native American/Alaska Native,LGA
Diane Antal,DL,DL39516,74,F,Asian,IAH
Karl Cullen,SW,SW87465,49,M,Native American/Alaska Native,MSP
Charles Stair,AS,AS52444,45,M,Hispanic/Latino,MSP
Mark Durden,AS,AS40699,57,M,Black/African American,DEN
Jessica Gannon,UA,UA20568,78,F,White,CLT
Helen Rickman,UA,UA57593,53,F,Native Hawaiian/Pacific Islander,ORD
Thomas Stevens,SW,SW87652,54,M,White,PHL
Donna Elerson,AS,AS96174,36,F,Asian,BWI
Martha Fontaine,UA,UA37265,44,F,Hispanic/Latino,EWR
Myrna Reyes,SW,SW11476,32,F,Native Hawaiian/Pacific Islander,DEN
Linda Harrell,SW,SW85751,41,F,Native American/Alaska Native,ATL
Brittany Gan,HA,HA70232,28,F,Asian,BWI
Karen Mullett,AA,AA74697,32,F,Black/African American,SFO
Dominga Welch,SW,SW50829,25,F,Hispanic/Latino,BNA
Mattie Hurd,SW,SW41843,82,F,White,MSP
Jerry Jones,AA,AA59311,72,M,White,ORD
Donald Williams,UA,UA30424,81,M,Native American/Alaska Native,EWR
Edward Broadbent,HA,HA82329,39,M,Native Hawaiian/Pacific Islander,TPA
Renee Bixby,AA,AA82513,32,F,Asian,JFK
Jan Ford,AA,AA72843,52,F,Native Hawaiian/Pacific Islander,JFK
Justin Day,DL,DL75329,67,M,Hispanic/Latino,SEA
Lloyd Miller,AA,AA43412,36,M,Hispanic/Latino,SEA
Scott Dayton,UA,UA34883,22,M,Asian,SFO
Lisa Barnett,HA,HA42149,36,F,Native Hawaiian/Pacific Islander,BNA
Paula Goldberg,DL,DL25628,70,F,White,FLL
Lena Mattice,AS,AS93467,53,F,Native American/Alaska Native,PHX
Helen Estrella,AS,AS13131,25,F,Native American/Alaska Native,IAH
Ruby Johnson,UA,UA86487,75,F,Native American/Alaska Native,SLC
Paul Gray,DL,DL38127,49,M,Native American/Alaska Native,MIA
Christina Higgins,UA,UA79656,49,F,Black/African American,DFW
Jennifer Henson,UA,UA70763,63,F,Asian,DEN
Andrew Marino,UA,UA77971,55,M,Black/African American,LAS
Terry Yowell,DL,DL30883,64,F,Black/African American,DEN
William Wilde,AS,AS20831,82,M,Asian,JFK
Sue Guglielmi,SW,SW97554,40,F,Hispanic/Latino,MIA
Ruth Harris,AS,AS22882,23,F,Native Hawaiian/Pacific Islander,MSP
James Obrien,AA,AA96564,37,M,White,FLL
Shea Sarkin,HA,HA87841,33,F,Native Hawaiian/Pacific Islander,CLT
Spencer Jones,AS,AS27137,37,M,Asian,BOS
Allen Nixon,AA,AA22085,82,M,Black/African American,ATL
Molly Walton,HA,HA89090,72,F,White,PHL
Michael Thomas,AS,AS20343,53,M,White,BNA
James Robertson,SW,SW93368,31,M,Native American/Alaska Native,IAH
Patricia Lewis,AS,AS13176,81,F,Hispanic/Latino,EWR
Theresa Too,AS,AS99884,46,F,White,BNA
Warren Fultz,AS,AS21704,61,M,Asian,PHX
Jennifer Dismukes,DL,DL26601,35,F,White,ATL
Brenda Humbert,HA,HA71841,44,F,Asian,ATL
Stephanie Roberson,UA,UA17346,28,F,Asian,LGA
Deborah Bivens,AS,AS49559,48,F,Native American/Alaska Native,ORD
Ruben Hoyt,AA,AA83933,54,M,Asian,LAS
Carmen Hill,AA,AA28437,41,F,Hispanic/Latino,JFK
Cecil Soliz,AA,AA36377,38,M,White,BWI
Charles Thornton,UA,UA21033,43,M,Native Hawaiian/Pacific Islander,SEA
Tyler Holmes,HA,HA49410,57,M,Black/African American,JFK
Christina Roller,DL,DL56404,71,F,Black/African American,DEN
Sheila Turner,AS,AS99242,24,F,Asian,MIA
Robert Witt,SW,SW45974,59,M,Native American/Alaska Native,IAH
Anita Florence,SW,SW20560,72,F,Native Hawaiian/Pacific Islander,IAD
Vincent Hosking,UA,UA75001,33,M,Black/African American,BNA
Jeffery Waits,AA,AA87467,37,M,Black/African American,MDW
Alfredo Arnold,DL,DL49002,78,M,Native American/Alaska Native,ATL
Patricia Miller,UA,UA29923,65,F,White,FLL
Johanna Mcelroy,UA,UA57736,37,F,Hispanic/Latino,ATL
Nora Thomas,DL,DL71683,39,F,Hispanic/Latino,BWI
Sharon Harrison,UA,UA72082,55,F,Black/African American,LGA
Heather Rankin,DL,DL40291,25,F,Hispanic/Latino,SLC
Denise Niedzwiecki,AA,AA51566,50,F,Native Hawaiian/Pacific Islander,JFK
Vincent Paris,AA,AA50617,42,M,White,ORD
Jared Throgmorton,DL,DL88997,73,M,White,PHX
Cynthia Egan,AA,AA17962,77,F,Asian,LGA
Tabitha Crosslin,SW,SW42137,43,F,Black/African American,LGA
Heather Adkinson,UA,UA36314,62,F,Hispanic/Latino,TPA
Lakesha Conley,SW,SW43006,47,F,Native Hawaiian/Pacific Islander,LGA
Christopher Lipscomb,UA,UA96982,23,M,Asian,LAS
George Hansen,AA,AA75409,48,M,Hispanic/Latino,LAS
Brian Bowers,AA,AA16573,61,M,Hispanic/Latino,DEN
Aisha Sullivan,DL,DL20653,23,F,Native American/Alaska Native,BWI
Mary Harris,AS,AS66206,28,F,Native Hawaiian/Pacific Islander,PHX
Roselia Bogart,AS,AS64762,74,F,Hispanic/Latino,TPA
Carolyn Veselka,DL,DL42857,75,F,Native American/Alaska Native,IAH
Mary Strohman,HA,HA86734,48,F,Asian,MIA
Van Graves,SW,SW88676,55,M,White,LAX
Jack Rudish,HA,HA44832,71,M,Asian,IAH
Michael Carlisle,HA,HA35707,40,M,Asian,PHL
Elsie Campbell,UA,UA64321,68,F,Asian,IAD
Claude Trexler,AA,AA87183,47,M,Native Hawaiian/Pacific Islander,SAN
Jennie Granville,AA,AA34457,62,F,White,MSP
Trisha Adams,AA,AA76321,64,F,Black/African American,DEN
Luther Davis,UA,UA94905,82,M,Asian,DEN
Mary Drakeford,UA,UA32238,63,F,White,MSP
James Henry,AS,AS12550,58,M,Native Hawaiian/Pacific Islander,PHX
Gavin Mccoy,SW,SW43072,47,M,Hispanic/Latino,DEN
Karen Hawkins,HA,HA59902,43,F,Hispanic/Latino,SFO
Kendal Kirby,DL,DL21460,41,F,Native American/Alaska Native,IAH
Leon Dotson,HA,HA77555,69,M,Asian,ORD
Chester Vara,UA,UA32417,44,M,Hispanic/Latino,JFK
Cindy Bologna,SW,SW64391,81,F,Native Hawaiian/Pacific Islander,FLL
Ryan Cox,AS,AS50015,76,M,White,SFO
Jeffery Palmer,AA,AA77253,69,M,White,CLT
Timothy Garcia,SW,SW15819,46,M,Black/African American,DTW
Jean Staten,UA,UA51102,28,F,Native American/Alaska Native,CLT
Emily Brown,HA,HA83080,59,F,Hispanic/Latino,LAS
Andrew Ealand,UA,UA17818,66,M,Native Hawaiian/Pacific Islander,DTW
Cheryl Perreira,DL,DL87691,36,F,Black/African American,SLC
Arnold Munson,DL,DL27915,39,M,Native American/Alaska Native,PHL
Robert Kabat,DL,DL97966,35,M,Hispanic/Latino,BNA
Bernice Wright,UA,UA14951,74,F,Asian,BWI
Peggy Peterson,AS,AS65000,41,F,Hispanic/Latino,SEA
James Stallings,AS,AS48146,45,M,Black/African American,MSP
Richard Rodriguez,AA,AA29890,79,M,White,LAS
Lia Nickerson,HA,HA99808,37,F,Hispanic/Latino,BNA
Monica Thompson,UA,UA18766,71,F,Asian,SEA
Donald Lochrico,DL,DL56373,31,M,Native American/Alaska Native,SAN
Tara Burnside,AS,AS27278,80,F,Black/African American,DFW
Thomas Grilli,AA,AA23710,83,M,Native Hawaiian/Pacific Islander,PHL
Meghan Iverson,SW,SW39791,32,F,Black/African American,BOS
Prince Morse,HA,HA45419,80,M,Hispanic/Latino,ORD
Andrew Dullea,AA,AA50197,29,M,Hispanic/Latino,LAS
James Zambrano,AA,AA65736,63,M,Hispanic/Latino,MDW
Charles Foster,UA,UA79474,68,M,Native Hawaiian/Pacific Islander,SFO
Paul Stewart,SW,SW79357,28,M,Native Hawaiian/Pacific Islander,PHX
Mary Vega,SW,SW41400,32,F,Black/African American,PHL
Jennifer Geiger,AS,AS60440,52,F,Native American/Alaska Native,DEN
Hunter Yeadon,HA,HA13006,29,M,Asian,EWR
Christopher White,AS,AS84926,60,M,Hispanic/Latino,ORD
Sandra Kelso,AA,AA43161,43,F,Asian,ATL
Adriana Jackson,SW,SW39512,55,F,Native Hawaiian/Pacific Islander,PHL
Mary Coyne,AA,AA30133,26,F,Black/African American,LAX
Alicia Baugh,DL,DL85421,69,F,Asian,LAS
Gene Yoon,UA,UA18183,62,M,Native Hawaiian/Pacific Islander,IAD
Lina Craig,AA,AA47680,68,F,White,CLT
Mabel Williams,HA,HA23816,26,F,Native Hawaiian/Pacific Islander,SAN
Jesica Zavala,AA,AA15571,44,F,Black/African American,BWI
Sharon Moore,HA,HA36729,60,F,Black/African American,IAD
John Karcher,HA,HA62933,80,M,Hispanic/Latino,PHL
Cecil Ellis,UA,UA70550,69,M,Asian,BNA
David Springer,UA,UA32869,77,M,Black/African American,MDW
John Price,SW,SW35403,36,M,Native Hawaiian/Pacific Islander,LAX
Javier Dishon,AS,AS10632,62,M,Native Hawaiian/Pacific Islander,EWR
John Smith,AA,AA65941,47,M,Native Hawaiian/Pacific Islander,DTW
Twanna Barnes,AA,AA54439,64,F,Black/African American,LAS
Felicitas Scott,HA,HA97607,56,F,Hispanic/Latino,LAS
Elizabeth Shaw,AS,AS19365,75,F,Black/African American,SEA
Mildred Hengl,AA,AA97248,34,F,Native Hawaiian/Pacific Islander,LAS
Mary Usher,UA,UA52495,35,F,Native Hawaiian/Pacific Islander,DTW
Troy Piccard,SW,SW89157,37,M,Asian,LAX
Andrew Knight,UA,UA35238,54,M,Black/African American,EWR
Lea Phillips,UA,UA51286,43,F,Native American/Alaska Native,JFK
Deborah Katz,UA,UA47538,29,F,Asian,SLC
Tracy Fisher,UA,UA21057,72,F,Black/African American,BWI
Daniel Sanchez,HA,HA64528,57,M,Asian,BNA
Jennifer Solomon,HA,HA81784,30,F,White,IAD
Terry Jerome,DL,DL70209,71,F,Asian,IAD
Stacey Williams,HA,HA16765,23,F,Asian,EWR
Robert Moore,UA,UA25257,84,M,Hispanic/Latino,JFK
Damion Wilson,UA,UA14697,52,M,White,SEA
Kay Weiner,AS,AS82814,60,F,Hispanic/Latino,PHL
Kyle Floyd,AA,AA43049,67,M,Hispanic/Latino,DTW
Tricia Bowman,DL,DL31648,80,F,Hispanic/Latino,SAN
Donald Staton,AA,AA96577,63,M,Native American/Alaska Native,MIA
Shirley Cooper,UA,UA94394,46,F,Native American/Alaska Native,SFO
Melissa Santos,UA,UA19580,75,F,Native American/Alaska Native,ORD
Linda Schleich,AS,AS91380,23,F,White,BWI
Angelia Jones,AA,AA13658,24,F,Hispanic/Latino,BNA
Ernest Haigler,DL,DL32238,45,M,White,SFO
Rose Anthony,UA,UA75266,28,F,Native Hawaiian/Pacific Islander,JFK
Maurice White,HA,HA34474,40,M,Black/African American,JFK
Jay Henry,HA,HA34721,60,M,Hispanic/Latino,BWI
Bobby Roman,DL,DL28700,30,M,Asian,PHL
Lance Herrington,SW,SW81221,76,M,Black/African American,ORD
Eva Bailey,UA,UA17832,33,F,Asian,SEA
Mario Kauffman,DL,DL55164,59,M,Asian,TPA
Amber Espenshade,HA,HA34019,35,F,Black/African American,BWI
Calvin Tabb,SW,SW85726,24,M,White,PHL
